x,y
100.333,3.49
100.333,4.47
100.333,5.45
100.333,6.43
100.333,7.41
100.333,8.39
100.333,9.37
100.333,10.35
100.333,11.33
100.333,12.31
100.333,13.29
100.333,14.27
100.333,15.25
100.333,16.23
100.333,17.21
100.333,18.19
100.333,19.17
100.333,20.15
100.333,21.13
100.333,22.11
100.333,23.09
100.333,24.07
100.333,25.05
100.333,26.03
100.333,27.01
100.333,27.99
100.333,28.97
100.333,29.95
100.333,30.93
100.333,31.91
100.333,32.89
100.333,33.87
100.333,34.85
100.333,35.83
100.333,36.81
100.333,37.79
100.333,38.77
100.333,39.75
100.333,40.73
100.333,41.71
100.333,42.69
100.333,43.67
100.333,44.65
100.333,45.63
100.333,46.61
100.333,47.59
100.333,48.57
100.333,49.55
143.262,49.55
144.26,48.57
144.26,47.59
144.26,46.61
145.258,45.63
145.258,44.65
145.258,43.67
146.257,42.69
146.257,41.71
146.257,40.73
146.257,39.75
148.253,38.77
149.252,37.79
151.248,36.81
152.247,35.83
153.245,34.85
154.243,33.87
156.24,32.89
158.237,31.91
160.233,30.93
162.23,29.95
163.228,28.97
165.225,27.99
167.222,27.01
168.22,26.03
170.217,25.05
172.213,24.07
173.212,23.09
175.208,22.11
177.205,21.13
178.203,20.15
181.199,19.17
183.195,18.19
186.19,17.21
189.185,16.23
190.184,15.25
190.184,14.27
191.182,13.29
192.18,12.31
193.179,11.33
193.179,10.35
191.182,9.37
187.189,8.39
183.195,7.41
179.202,6.43
174.21,5.45
168.22,4.47
159.235,3.49
