x,y
143.262,49.55
144.26,48.57
144.26,47.59
144.26,46.61
145.258,45.63
145.258,44.65
145.258,43.67
146.257,42.69
146.257,41.71
146.257,40.73
146.257,39.75
148.253,38.77
149.252,37.79
151.248,36.81
152.247,35.83
153.245,34.85
154.243,33.87
156.24,32.89
158.237,31.91
160.233,30.93
162.23,29.95
163.228,28.97
165.225,27.99
167.222,27.01
168.22,26.03
170.217,25.05
172.213,24.07
173.212,23.09
175.208,22.11
177.205,21.13
178.203,20.15
181.199,19.17
183.195,18.19
186.19,17.21
189.185,16.23
190.184,15.25
190.184,14.27
191.182,13.29
192.18,12.31
193.179,11.33
193.179,10.35
191.182,9.37
187.189,8.39
183.195,7.41
179.202,6.43
174.21,5.45
168.22,4.47
159.235,3.49
