x,y
100.333,3.49
100.333,4.47
100.333,5.45
100.333,6.43
100.333,7.41
100.333,8.39
100.333,9.37
100.333,10.35
100.333,11.33
100.333,12.31
100.333,13.29
100.333,14.27
100.333,15.25
100.333,16.23
100.333,17.21
100.333,18.19
100.333,19.17
100.333,20.15
100.333,21.13
100.333,22.11
100.333,23.09
100.333,24.07
100.333,25.05
100.333,26.03
100.333,27.01
100.333,27.99
100.333,28.97
100.333,29.95
100.333,30.93
100.333,31.91
100.333,32.89
100.333,33.87
100.333,34.85
100.333,35.83
100.333,36.81
100.333,37.79
100.333,38.77
100.333,39.75
100.333,40.73
100.333,41.71
100.333,42.69
100.333,43.67
100.333,44.65
100.333,45.63
100.333,46.61
100.333,47.59
100.333,48.57
100.333,49.55
325.958,50.53
332.946,50.53
167.222,49.55
167.222,48.57
167.222,47.59
168.22,46.61
168.22,45.63
168.22,44.65
169.218,43.67
169.218,42.69
169.218,41.71
170.217,40.73
171.215,39.75
172.213,38.77
174.21,37.79
176.207,36.81
179.202,35.83
181.199,34.85
183.195,33.87
186.19,32.89
188.187,31.91
190.184,30.93
192.18,29.95
194.177,28.97
196.174,27.99
198.17,27.01
200.167,26.03
202.164,25.05
204.16,24.07
206.157,23.09
208.154,22.11
210.15,21.13
212.147,20.15
214.144,19.17
215.142,18.19
216.14,17.21
217.139,16.23
218.137,15.25
219.135,14.27
220.134,13.29
221.132,12.31
222.13,11.33
223.129,10.35
221.132,9.37
217.139,8.39
212.147,7.41
205.159,6.43
196.174,5.45
190.184,4.47
176.207,3.49
