x,y
100.333,3.49
100.333,4.47
100.333,5.45
100.333,6.43
100.333,7.41
100.333,8.39
100.333,9.37
100.333,10.35
100.333,11.33
100.333,12.31
100.333,13.29
100.333,14.27
100.333,15.25
100.333,16.23
100.333,17.21
100.333,18.19
100.333,19.17
100.333,20.15
100.333,21.13
100.333,22.11
100.333,23.09
100.333,24.07
100.333,25.05
100.333,26.03
100.333,27.01
100.333,27.99
100.333,28.97
100.333,29.95
100.333,30.93
100.333,31.91
100.333,32.89
100.333,33.87
100.333,34.85
100.333,35.83
100.333,36.81
100.333,37.79
100.333,38.77
100.333,39.75
100.333,40.73
100.333,41.71
100.333,42.69
100.333,43.67
100.333,44.65
100.333,45.63
100.333,46.61
100.333,47.59
100.333,48.57
100.333,49.55
119.301,49.55
118.303,48.57
118.303,47.59
118.303,46.61
118.303,45.63
117.305,44.65
117.305,43.67
117.305,42.69
116.306,41.71
116.306,40.73
116.306,39.75
118.303,38.77
120.3,37.79
121.298,36.81
122.297,35.83
123.295,34.85
124.293,33.87
126.29,32.89
129.285,31.91
130.283,30.93
131.282,29.95
133.278,28.97
136.273,27.99
138.27,27.01
140.267,26.03
143.262,25.05
145.258,24.07
147.255,23.09
150.25,22.11
151.248,21.13
153.245,20.15
155.242,19.17
156.24,18.19
158.237,17.21
159.235,16.23
161.232,15.25
162.23,14.27
163.228,13.29
164.227,12.31
165.225,11.33
166.223,10.35
165.225,9.37
162.23,8.39
161.232,7.41
158.237,6.43
152.247,5.45
147.255,4.47
143.262,3.49
