x,y
100.333,3.49
100.333,4.47
100.333,5.45
100.333,6.43
100.333,7.41
100.333,8.39
100.333,9.37
100.333,10.35
100.333,11.33
100.333,12.31
100.333,13.29
100.333,14.27
100.333,15.25
100.333,16.23
100.333,17.21
100.333,18.19
100.333,19.17
100.333,20.15
100.333,21.13
100.333,22.11
100.333,23.09
100.333,24.07
100.333,25.05
100.333,26.03
100.333,27.01
100.333,27.99
100.333,28.97
100.333,29.95
100.333,30.93
100.333,31.91
100.333,32.89
100.333,33.87
100.333,34.85
100.333,35.83
100.333,36.81
100.333,37.79
100.333,38.77
100.333,39.75
100.333,40.73
100.333,41.71
100.333,42.69
100.333,43.67
100.333,44.65
100.333,45.63
100.333,46.61
100.333,47.59
100.333,48.57
100.333,49.55
325.958,50.53
334.943,50.53
171.215,49.55
171.215,48.57
171.215,47.59
172.213,46.61
172.213,45.63
172.213,44.65
172.213,43.67
173.212,42.69
173.212,41.71
173.212,40.73
174.21,39.75
176.207,38.77
179.202,37.79
181.199,36.81
183.195,35.83
185.192,34.85
188.187,33.87
190.184,32.89
192.18,31.91
194.177,30.93
197.172,29.95
198.17,28.97
200.167,27.99
202.164,27.01
204.16,26.03
206.157,25.05
208.154,24.07
210.15,23.09
213.145,22.11
215.142,21.13
217.139,20.15
218.137,19.17
219.135,18.19
220.134,17.21
221.132,16.23
222.13,15.25
223.129,14.27
224.127,13.29
225.125,12.31
226.124,11.33
227.122,10.35
224.127,9.37
220.134,8.39
216.14,7.41
209.152,6.43
199.169,5.45
192.18,4.47
181.199,3.49
