x,y
171.215,49.55
171.215,48.57
171.215,47.59
172.213,46.61
172.213,45.63
172.213,44.65
172.213,43.67
173.212,42.69
173.212,41.71
173.212,40.73
174.21,39.75
176.207,38.77
179.202,37.79
181.199,36.81
183.195,35.83
185.192,34.85
188.187,33.87
190.184,32.89
192.18,31.91
194.177,30.93
197.172,29.95
198.17,28.97
200.167,27.99
202.164,27.01
204.16,26.03
206.157,25.05
208.154,24.07
210.15,23.09
213.145,22.11
215.142,21.13
217.139,20.15
218.137,19.17
219.135,18.19
220.134,17.21
221.132,16.23
222.13,15.25
223.129,14.27
224.127,13.29
225.125,12.31
226.124,11.33
227.122,10.35
224.127,9.37
220.134,8.39
216.14,7.41
209.152,6.43
199.169,5.45
192.18,4.47
181.199,3.49
