x,y
100.333,3.49
100.333,4.47
100.333,5.45
100.333,6.43
100.333,7.41
100.333,8.39
100.333,9.37
100.333,10.35
100.333,11.33
100.333,12.31
100.333,13.29
100.333,14.27
100.333,15.25
100.333,16.23
100.333,17.21
100.333,18.19
100.333,19.17
100.333,20.15
100.333,21.13
100.333,22.11
100.333,23.09
100.333,24.07
100.333,25.05
100.333,26.03
100.333,27.01
100.333,27.99
100.333,28.97
100.333,29.95
100.333,30.93
100.333,31.91
100.333,32.89
100.333,33.87
100.333,34.85
100.333,35.83
100.333,36.81
100.333,37.79
100.333,38.77
100.333,39.75
100.333,40.73
100.333,41.71
100.333,42.69
100.333,43.67
100.333,44.65
100.333,45.63
100.333,46.61
100.333,47.59
100.333,48.57
100.333,49.55
325.958,50.53
346.923,50.53
200.167,49.55
201.165,48.57
203.162,47.59
204.16,46.61
205.159,45.63
206.157,44.65
208.154,43.67
209.152,42.69
210.15,41.71
211.149,40.73
213.145,39.75
216.14,38.77
218.137,37.79
221.132,36.81
224.127,35.83
228.12,34.85
232.114,33.87
234.11,32.89
235.109,31.91
236.107,30.93
237.105,29.95
238.104,28.97
239.102,27.99
241.099,27.01
242.097,26.03
243.096,25.05
245.092,24.07
246.091,23.09
247.089,22.11
248.087,21.13
250.084,20.15
251.082,19.17
251.082,18.19
251.082,17.21
252.081,16.23
252.081,15.25
253.079,14.27
253.079,13.29
253.079,12.31
254.077,11.33
256.074,10.35
250.084,9.37
247.089,8.39
243.096,7.41
236.107,6.43
226.124,5.45
216.14,4.47
200.167,3.49
