x,y
100.333,3.49
100.333,4.47
100.333,5.45
100.333,6.43
100.333,7.41
100.333,8.39
100.333,9.37
100.333,10.35
100.333,11.33
100.333,12.31
100.333,13.29
100.333,14.27
100.333,15.25
100.333,16.23
100.333,17.21
100.333,18.19
100.333,19.17
100.333,20.15
100.333,21.13
100.333,22.11
100.333,23.09
100.333,24.07
100.333,25.05
100.333,26.03
100.333,27.01
100.333,27.99
100.333,28.97
100.333,29.95
100.333,30.93
100.333,31.91
100.333,32.89
100.333,33.87
100.333,34.85
100.333,35.83
100.333,36.81
100.333,37.79
100.333,38.77
100.333,39.75
100.333,40.73
100.333,41.71
100.333,42.69
100.333,43.67
100.333,44.65
100.333,45.63
100.333,46.61
100.333,47.59
100.333,48.57
100.333,49.55
147.255,49.55
147.255,48.57
148.253,47.59
148.253,46.61
148.253,45.63
149.252,44.65
149.252,43.67
149.252,42.69
150.25,41.71
150.25,40.73
151.248,39.75
152.247,38.77
154.243,37.79
155.242,36.81
156.24,35.83
157.238,34.85
159.235,33.87
161.232,32.89
163.228,31.91
165.225,30.93
167.222,29.95
168.22,28.97
170.217,27.99
172.213,27.01
173.212,26.03
175.208,25.05
177.205,24.07
178.203,23.09
180.2,22.11
182.197,21.13
184.194,20.15
186.19,19.17
188.187,18.19
191.182,17.21
192.18,16.23
193.179,15.25
193.179,14.27
194.177,13.29
194.177,12.31
195.175,11.33
196.174,10.35
193.179,9.37
189.185,8.39
186.19,7.41
181.199,6.43
176.207,5.45
170.217,4.47
162.23,3.49
