#: table_doi: 10.17182/hepdata.93906.v2/t3
#: name: stop_exp
#: description: The expected exclusion contour at 95% CL as a function of the $\it{m}_{\tilde{\chi}^{0}_{1}}$  vs. $\it{m}_{\tilde{t}}$. Masses that are within the contour are excluded.
#: data_file: stop_exp.yaml
#: keyword observables: CLS
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Proton-Proton Scattering
#: keyword reactions: P P --> STOP STOP X
$\it{m}_{\tilde{t}}\ \mathrm{[GeV]}$,$\it{m}_{\tilde{\chi}^{0}_{1}}\ \mathrm{[GeV]}$
490.4,373.3
489.5,374.2
488.1,377.7
486.5,378.7
485.3,380.0
483.6,383.3
485.2,389.9
486.5,392.0
491.5,399.7
495.2,405.0
496.6,406.5
501.6,412.6
506.6,418.5
511.6,424.3
516.6,430.0
521.6,435.8
524.4,439.1
526.6,442.0
531.7,448.1
536.7,454.1
541.7,459.9
546.7,465.5
551.7,471.1
556.7,476.3
561.8,481.1
566.8,485.6
571.8,490.1
576.8,494.7
581.8,499.3
586.8,504.2
591.8,509.3
596.9,514.7
601.9,520.6
603.6,523.3
606.9,529.1
610.5,535.3
611.9,540.0
613.0,542.8
611.9,543.7
610.2,545.0
606.9,545.6
605.9,545.7
601.9,545.5
601.0,545.8
596.9,545.7
596.2,546.0
591.8,546.7
591.8,546.7
589.0,548.8
586.8,551.1
586.6,551.5
586.8,553.5
587.8,557.7
591.8,566.7
591.8,566.9
593.2,573.1
591.8,572.4
586.8,569.4
581.8,566.7
581.7,566.7
576.8,562.6
571.8,558.3
566.8,554.0
561.8,550.3
558.0,548.0
556.7,547.0
551.7,542.6
546.7,538.0
541.7,533.3
536.7,528.5
531.7,523.8
526.6,519.0
521.6,514.2
516.6,509.4
511.6,504.7
506.6,499.9
501.6,495.1
496.6,490.3
491.5,485.4
486.5,480.3
481.5,475.3
476.5,470.3
471.5,465.3
466.5,460.5
461.4,455.9
457.0,452.0
456.4,451.4
451.4,446.4
446.4,441.4
441.4,436.4
436.4,431.4
431.3,426.3
426.3,421.3
421.3,416.3
416.3,411.3
411.3,406.3
406.3,401.3
401.3,396.3
396.2,391.2
391.2,386.2
386.2,381.2
381.2,376.2
376.2,371.2
371.2,366.2
366.1,361.1
361.1,356.1
356.1,351.1
351.1,346.1
346.1,341.1
341.1,336.1
336.1,331.1
331.0,326.0
326.0,321.0
321.0,316.0
316.0,311.0
311.0,306.0
306.0,301.0
300.9,295.9
1259.2,0.0
1258.9,13.0
1258.9,15.0
1258.8,19.9
1258.7,24.8
1258.6,29.8
1258.5,34.7
1258.4,39.6
1258.2,44.4
1258.1,49.3
1257.9,54.1
1257.7,58.9
1257.4,63.7
1257.2,68.5
1256.9,73.2
1256.6,77.9
1256.3,82.6
1256.0,87.3
1255.6,92.0
1255.3,96.7
1254.9,101.3
1254.5,105.9
1254.1,110.5
1253.9,112.2
1253.6,115.1
1253.1,119.6
1252.6,124.1
1252.1,128.6
1251.5,133.0
1251.0,137.5
1250.4,141.9
1249.8,146.3
1249.2,150.7
1248.9,152.6
1248.6,155.1
1248.0,159.6
1247.3,163.9
1246.7,168.3
1246.0,172.7
1245.4,177.0
1244.7,181.4
1244.0,185.7
1243.9,186.6
1243.4,190.1
1242.7,194.4
1242.0,198.7
1241.3,203.1
1240.6,207.4
1239.9,211.7
1239.2,216.0
1238.9,217.8
1238.5,220.3
1237.8,224.6
1237.1,228.9
1236.4,233.2
1235.7,237.5
1235.0,241.9
1234.3,246.2
1233.9,248.8
1233.6,250.5
1233.0,254.9
1232.3,259.3
1231.7,263.7
1231.1,268.1
1230.5,272.5
1229.9,276.9
1229.3,281.4
1228.8,284.8
1228.7,285.8
1228.1,290.2
1227.5,294.6
1226.9,299.0
1226.3,303.4
1225.7,307.8
1225.0,312.1
1224.3,316.5
1223.8,319.5
1223.6,320.8
1222.9,325.1
1222.2,329.4
1221.5,333.7
1220.7,338.0
1220.0,342.2
1219.2,346.4
1218.8,348.3
1218.4,350.6
1217.5,354.8
1216.7,359.0
1215.8,363.2
1215.0,367.3
1214.0,371.4
1213.8,372.5
1213.1,375.5
1212.2,379.6
1211.3,383.7
1210.3,387.7
1209.3,391.7
1208.8,393.7
1208.3,395.7
1207.3,399.8
1206.2,403.7
1205.1,407.6
1203.9,411.4
1203.8,411.8
1202.8,415.3
1201.6,419.2
1200.5,423.0
1199.2,426.8
1198.7,428.2
1197.9,430.5
1196.5,434.1
1194.9,437.6
1193.7,440.2
1193.4,441.0
1191.7,444.3
1189.8,447.5
1188.7,449.2
1187.9,450.6
1185.9,453.6
1183.7,456.4
1183.7,456.4
1181.5,459.3
1179.1,461.9
1178.7,462.3
1176.7,464.4
1174.0,466.8
1173.7,467.0
1171.3,469.1
1168.7,471.0
1168.4,471.2
1165.4,473.2
1163.6,474.2
1162.2,475.1
1158.9,476.7
1158.6,476.8
1155.3,478.2
1153.6,478.8
1151.4,479.3
1148.6,479.9
1147.3,480.2
1143.6,480.8
1143.1,481.0
1139.1,482.0
1138.6,482.2
1135.4,483.4
1133.5,484.1
1131.9,484.9
1128.5,486.5
1128.5,486.5
1125.3,488.3
1123.5,489.3
1122.1,490.1
1119.0,492.1
1118.5,492.4
1116.0,494.0
1113.5,495.6
1112.9,496.0
1109.9,498.0
1108.5,498.9
1106.8,499.9
1103.6,501.8
1103.4,501.9
1100.4,503.5
1098.4,504.5
1097.0,505.2
1093.6,506.8
1093.4,506.9
1090.1,508.3
1088.4,508.9
1086.4,509.6
1083.4,510.5
1082.5,510.7
1078.4,511.5
1078.3,511.5
1073.6,511.9
1073.4,511.9
1068.4,511.7
1068.3,511.7
1063.3,510.9
1062.4,510.7
1058.3,509.6
1055.4,508.7
1053.3,507.9
1048.3,505.9
1047.2,505.5
1043.3,503.9
1038.8,502.2
1038.2,501.9
1033.2,499.9
1030.4,498.7
1028.2,497.8
1023.2,495.7
1021.7,495.1
1018.2,493.5
1013.2,491.3
1012.8,491.2
1008.2,489.1
1003.6,487.0
1003.1,486.8
998.1,484.4
993.7,482.1
993.1,481.8
988.1,479.1
983.1,476.3
982.5,475.9
978.1,473.4
973.0,470.5
970.9,469.3
968.0,467.7
963.0,465.0
959.8,463.3
958.0,462.3
953.0,459.9
950.3,458.8
948.0,457.8
942.9,455.6
941.5,455.0
937.9,453.6
933.7,452.2
932.9,452.0
927.9,451.2
927.7,451.2
923.0,451.5
922.9,451.5
919.1,452.6
917.9,453.0
915.5,454.1
912.9,455.3
912.1,455.7
908.7,457.3
907.8,457.8
905.5,459.1
902.8,460.4
902.2,460.8
899.0,462.6
897.8,463.3
895.8,464.4
892.8,466.0
892.5,466.2
889.1,467.8
887.8,468.3
885.3,469.0
882.8,469.5
881.1,469.8
877.7,470.5
876.9,470.7
872.8,471.5
872.7,471.5
868.5,472.3
867.7,472.4
864.2,473.0
862.7,473.2
859.8,473.6
857.7,473.8
855.3,474.1
852.7,474.4
850.9,474.7
847.6,475.1
846.4,475.2
842.6,475.6
841.8,475.7
837.6,476.2
837.4,476.3
833.5,477.4
832.6,477.6
829.9,478.8
827.6,479.9
826.5,480.4
823.0,482.0
822.6,482.1
819.5,483.4
817.6,484.1
815.8,484.8
812.5,485.8
812.0,486.0
808.0,487.0
807.5,487.0
803.7,487.8
802.5,487.9
799.3,488.3
797.5,488.4
794.5,488.6
792.5,488.5
789.4,488.5
787.5,488.4
784.1,488.2
782.4,488.0
778.4,487.5
777.4,487.3
772.4,486.3
772.1,486.2
767.4,484.9
764.9,484.0
762.4,483.1
757.4,481.0
756.4,480.5
752.4,478.5
747.3,475.8
745.7,474.8
742.3,472.7
737.3,469.3
732.3,465.5
728.0,462.2
727.3,461.6
722.3,457.5
717.2,453.4
712.2,449.2
707.2,445.0
702.2,440.9
699.6,438.8
697.2,436.9
692.2,432.9
687.1,428.9
682.1,424.8
677.1,420.7
672.8,417.0
672.1,416.4
667.1,412.1
662.1,407.7
657.1,403.3
652.0,398.9
647.0,394.7
642.0,390.8
640.3,389.5
637.0,387.0
632.0,383.3
627.0,379.8
622.4,376.7
621.9,376.3
616.9,372.8
611.9,369.3
606.9,365.9
606.0,365.3
601.9,362.4
596.9,358.8
591.8,355.3
589.3,353.6
586.8,351.8
581.8,348.3
576.8,344.8
572.5,341.8
571.8,341.3
566.8,338.2
565.8,337.7
561.8,332.1
565.7,337.5
566.8,339.8
568.0,342.3
571.8,351.0
571.8,351.1
575.2,359.6
576.8,364.1
578.0,367.3
579.6,374.0
578.6,378.0
576.8,377.2
571.8,374.4
567.2,371.6
566.8,371.7
561.8,369.7
557.4,366.8
561.8,371.8
566.8,377.2
571.8,382.4
576.8,387.6
581.8,392.8
586.8,398.2
591.8,403.9
596.9,410.3
600.1,414.5
601.9,416.8
606.9,423.4
611.9,430.1
614.9,434.4
616.9,437.5
620.3,442.7
621.9,445.2
624.3,448.7
621.9,448.6
618.5,447.9
616.9,446.9
611.9,443.3
606.9,439.5
601.9,435.6
597.9,432.4
596.9,431.7
591.8,428.2
586.8,424.5
581.8,420.8
579.4,418.9
576.8,417.4
571.8,414.6
569.2,413.7
571.8,418.0
576.3,425.8
575.9,430.5
571.8,431.2
571.7,431.2
566.8,429.9
564.7,429.3
561.8,427.8
556.7,425.1
553.0,422.6
