#: table_doi: 10.17182/hepdata.93906.v2/t2
#: name: stop_obs
#: description: The observed exclusion contour at 95% CL as a function of the $\it{m}_{\tilde{\chi}^{0}_{1}}$  vs. $\it{m}_{\tilde{t}}$. Masses that are within the contours are excluded.
#: data_file: stop_obs.yaml
#: keyword observables: CLS
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Proton-Proton Scattering
#: keyword reactions: P P --> STOP STOP X
$\it{m}_{\tilde{t}}\ \mathrm{[GeV]}$,$\it{m}_{\tilde{\chi}^{0}_{1}}\ \mathrm{[GeV]}$
539.1,415.7
536.7,414.3
531.7,411.0
530.5,410.1
526.6,407.0
521.6,402.9
516.6,398.6
511.6,394.5
506.6,391.1
504.9,389.5
501.6,386.4
496.6,383.2
492.6,382.3
491.5,382.2
487.9,382.5
486.5,384.3
485.7,385.3
486.5,387.9
488.6,393.3
491.5,397.4
496.6,404.2
501.6,410.6
504.8,414.5
506.6,416.6
511.6,422.2
516.6,427.8
521.6,433.5
526.6,439.3
531.7,445.1
536.7,450.8
541.7,456.3
543.0,457.7
546.7,461.8
551.7,467.5
556.7,472.8
561.8,477.9
566.8,482.7
571.8,487.6
576.8,492.6
581.8,497.4
586.8,502.3
591.8,507.6
596.9,513.2
601.9,519.3
606.1,525.8
606.9,527.2
611.9,535.5
613.9,538.7
616.9,546.2
617.7,547.5
620.4,555.2
621.9,558.0
627.0,565.6
629.0,568.8
629.7,574.6
627.0,575.1
624.3,574.1
621.9,572.6
616.9,567.4
615.2,565.0
611.9,560.2
606.9,555.0
602.6,552.4
601.9,551.9
596.9,551.1
596.3,551.1
593.5,553.4
593.6,558.5
596.9,566.5
597.2,567.1
601.9,575.4
602.7,577.6
602.3,582.2
601.9,582.1
596.9,579.7
591.8,576.6
591.3,576.3
586.8,572.6
581.8,568.3
576.8,563.9
571.8,559.5
566.8,555.5
563.1,553.1
561.8,552.3
556.7,548.3
551.7,543.9
546.7,539.3
541.7,534.5
536.7,529.8
531.7,525.2
526.6,520.5
521.6,515.7
516.6,510.8
511.6,506.0
506.6,501.2
501.6,496.4
497.2,492.2
496.6,491.6
491.5,486.5
486.5,481.5
481.5,476.5
476.5,471.5
471.5,466.5
466.5,461.5
461.4,456.4
456.4,451.4
451.4,446.4
446.4,441.4
441.4,436.4
436.4,431.4
431.3,426.3
426.3,421.3
421.3,416.3
416.3,411.3
411.3,406.3
406.3,401.3
401.3,396.3
396.2,391.2
391.2,386.2
386.2,381.2
381.2,376.2
376.2,371.2
371.2,366.2
366.1,361.1
361.1,356.1
356.1,351.1
351.1,346.1
346.1,341.1
341.1,336.1
336.1,331.1
331.0,326.0
326.0,321.0
321.0,316.0
316.0,311.0
311.0,306.0
306.0,301.0
300.9,295.9
1258.7,0.0
1258.3,9.4
1258.1,14.2
1257.9,19.1
1257.7,23.9
1257.5,28.7
1257.3,33.5
1257.1,38.3
1256.9,43.1
1256.7,47.9
1256.5,52.7
1256.2,57.5
1256.0,62.3
1255.8,67.0
1255.5,71.8
1255.3,76.6
1255.1,81.4
1254.8,86.2
1254.6,91.0
1254.4,95.8
1254.2,100.6
1254.0,105.4
1253.9,107.9
1253.8,110.2
1253.6,115.0
1253.3,119.7
1253.0,124.4
1252.6,129.1
1252.3,133.8
1251.9,138.4
1251.5,143.0
1251.1,147.7
1250.7,152.2
1250.2,156.8
1249.8,161.4
1249.3,165.9
1248.9,169.8
1248.8,170.5
1248.4,175.0
1247.9,179.6
1247.5,184.1
1247.0,188.7
1246.5,193.2
1246.0,197.7
1245.4,202.2
1244.9,206.7
1244.4,211.1
1243.9,214.8
1243.8,215.6
1243.3,220.1
1242.7,224.5
1242.2,229.0
1241.6,233.5
1241.0,237.9
1240.5,242.3
1239.9,246.8
1239.3,251.2
1238.9,253.9
1238.7,255.6
1238.1,260.0
1237.5,264.4
1236.9,268.8
1236.3,273.2
1235.6,277.6
1235.0,282.0
1234.4,286.4
1233.9,290.1
1233.8,290.8
1233.2,295.2
1232.5,299.6
1231.9,304.0
1231.2,308.4
1230.6,312.7
1229.9,317.0
1229.2,321.3
1228.8,323.2
1228.4,325.6
1227.7,329.9
1227.0,334.2
1226.2,338.4
1225.4,342.7
1224.6,346.9
1223.8,350.7
1223.8,351.0
1222.9,355.2
