#: table_doi: 10.17182/hepdata.103065.v1/t33
#: name: Figure 09-a Observed Lines
#: description: The observed exclusion contour of the T2ttC simplified model with respect to approximate NNLO+NNLL signal cross sections and the change in this contour due to variation of these cross sections within their theoretical uncertainties ($\sigma_{\text{theory}}$).
#: data_file: figure_09-a_observed_lines.yaml
#: keyword observables: CLS
#: keyword phrases: Supersymmetry | Proton-Proton Scattering | Stop pair production | Top squark | Dark Matter | SUSY | T2ttC
#: keyword cmenergies: 13000
#: keyword reactions: P P --> STOP STOP | STOP --> BQ LEPTON+ LEPTON- NEUTRALINO
$m_{\tilde{t}}$ [GeV],$-1 \sigma$
617.07,~
617.5,~
619.32,~
626.0,~
630.96,~
630.08,~
631.54,~
635.01,~
633.01,~
626.0,~
609.7,~
604.73,~
600.0,~
597.3,~
596.67,~
588.06,~
576.0,~
568.29,~
606.96,~
607.14,~
611.14,~
621.25,~
619.55,~
617.44,~
621.05,~
626.0,~
626.8,~
626.62,~
626.0,~
620.21,~
600.0,~
597.5,~
596.47,~
590.26,~
588.01,~
583.03,~
576.0,~
559.38,~
627.0,10.0
627.28,10.535
627.86,20.0
628.49,21.035
638.17,30.0
637.62,35.158
641.8,40.0
643.35,42.77
639.48,50.0
626.0,59.667
624.89,60.0
612.06,64.64
606.36,70.0
604.04,71.552
600.0,73.15
593.13,77.137
578.29,80.0

$m_{\tilde{t}}$ [GeV],$+1 \sigma$
617.07,~
617.5,~
619.32,~
626.0,~
630.96,~
630.08,~
631.54,~
635.01,~
633.01,~
626.0,~
609.7,~
604.73,~
600.0,~
597.3,~
596.67,~
588.06,~
576.0,~
568.29,~
606.96,10.0
607.14,12.745
611.14,20.0
621.25,28.172
619.55,30.0
617.44,36.707
621.05,40.0
626.0,48.221
626.8,49.669
626.62,50.0
626.0,50.451
620.21,52.225
600.0,58.425
597.5,58.96
596.47,60.0
590.26,65.943
588.01,70.0
583.03,72.928
576.0,74.326
559.38,80.0
627.0,~
627.28,~
627.86,~
628.49,~
638.17,~
637.62,~
641.8,~
643.35,~
639.48,~
626.0,~
624.89,~
612.06,~
606.36,~
604.04,~
600.0,~
593.13,~
578.29,~

$m_{\tilde{t}}$ [GeV],Observed Exclusion Contour
617.07,10.0
617.5,16.731
619.32,20.0
626.0,25.375
630.96,30.0
630.08,38.298
631.54,40.0
635.01,46.245
633.01,50.0
626.0,55.059
609.7,60.0
604.73,61.818
600.0,66.305
597.3,68.874
596.67,70.0
588.06,75.024
576.0,77.384
568.29,80.0
606.96,~
607.14,~
611.14,~
621.25,~
619.55,~
617.44,~
621.05,~
626.0,~
626.8,~
626.62,~
626.0,~
620.21,~
600.0,~
597.5,~
596.47,~
590.26,~
588.01,~
583.03,~
576.0,~
559.38,~
627.0,~
627.28,~
627.86,~
628.49,~
638.17,~
637.62,~
641.8,~
643.35,~
639.48,~
626.0,~
624.89,~
612.06,~
606.36,~
604.04,~
600.0,~
593.13,~
578.29,~

