x,y
250.273,9.49333
250.273,10.48
250.273,11.4667
250.273,12.4533
250.273,13.44
250.273,14.4267
250.273,15.4133
250.273,16.4
250.273,17.3867
250.273,18.3733
250.273,19.36
250.273,20.3467
250.273,21.3333
250.273,22.32
250.273,23.3067
250.273,24.2933
250.273,25.28
250.273,26.2667
250.273,27.2533
250.273,28.24
250.273,29.2267
250.273,30.2133
250.273,31.2
250.273,32.1867
250.273,33.1733
250.273,34.16
250.273,35.1467
250.273,36.1333
250.273,37.12
250.273,38.1067
250.273,39.0933
250.273,40.08
250.273,41.0667
250.273,42.0533
250.273,43.04
250.273,44.0267
250.273,45.0133
250.273,46
250.273,46.9867
250.273,47.9733
250.273,48.96
250.273,49.9467
250.273,50.9333
250.273,51.92
250.273,52.9067
250.273,53.8933
250.273,54.88
250.273,55.8667
250.273,56.8533
250.273,57.84
250.273,58.8267
250.273,59.8133
250.273,60.8
250.273,61.7867
250.273,62.7733
250.273,63.76
250.273,64.7467
250.273,65.7333
250.273,66.72
250.273,67.7067
250.273,68.6933
250.273,69.68
250.273,70.6667
250.273,71.6533
250.273,72.64
250.273,73.6267
250.273,74.6133
250.273,75.6
250.273,76.5867
250.273,77.5733
250.273,78.56
250.273,79.5467
397.139,80.5333
799.774,81.52
899.683,81.52
800.773,80.5333
744.824,79.5467
746.822,78.56
746.822,77.5733
746.822,76.5867
761.808,75.6
765.804,74.6133
769.801,73.6267
773.797,72.64
776.794,71.6533
778.793,70.6667
778.793,69.68
777.794,68.6933
775.795,67.7067
772.798,66.72
769.801,65.7333
766.804,64.7467
763.806,63.76
760.809,62.7733
758.811,61.7867
755.814,60.8
752.816,59.8133
752.816,58.8267
751.817,57.84
750.818,56.8533
749.819,55.8667
748.82,54.88
748.82,53.8933
747.821,52.9067
746.822,51.92
746.822,50.9333
745.823,49.9467
744.824,48.96
743.824,47.9733
742.825,46.9867
741.826,46
740.827,45.0133
739.828,44.0267
738.829,43.04
737.83,42.0533
736.831,41.0667
735.832,40.08
734.833,39.0933
732.834,38.1067
731.835,37.12
730.836,36.1333
729.837,35.1467
728.838,34.16
727.839,33.1733
725.841,32.1867
724.842,31.2
723.843,30.2133
720.845,29.2267
718.847,28.24
715.85,27.2533
712.853,26.2667
709.855,25.28
707.857,24.2933
704.86,23.3067
701.863,22.32
699.864,21.3333
696.867,20.3467
692.871,19.36
687.875,18.3733
682.88,17.3867
675.886,16.4
665.895,15.4133
657.902,14.4267
650.909,13.44
636.922,12.4533
626.931,11.4667
617.939,10.48
688.874,9.49333
