x,y
250.273,9.49333
250.273,10.48
250.273,11.4667
250.273,12.4533
250.273,13.44
250.273,14.4267
250.273,15.4133
250.273,16.4
250.273,17.3867
250.273,18.3733
250.273,19.36
250.273,20.3467
250.273,21.3333
250.273,22.32
250.273,23.3067
250.273,24.2933
250.273,25.28
250.273,26.2667
250.273,27.2533
250.273,28.24
250.273,29.2267
250.273,30.2133
250.273,31.2
250.273,32.1867
250.273,33.1733
250.273,34.16
250.273,35.1467
250.273,36.1333
250.273,37.12
250.273,38.1067
250.273,39.0933
250.273,40.08
250.273,41.0667
250.273,42.0533
250.273,43.04
250.273,44.0267
250.273,45.0133
250.273,46
250.273,46.9867
250.273,47.9733
250.273,48.96
250.273,49.9467
250.273,50.9333
250.273,51.92
250.273,52.9067
250.273,53.8933
250.273,54.88
250.273,55.8667
250.273,56.8533
250.273,57.84
250.273,58.8267
250.273,59.8133
250.273,60.8
250.273,61.7867
250.273,62.7733
250.273,63.76
250.273,64.7467
250.273,65.7333
250.273,66.72
250.273,67.7067
250.273,68.6933
250.273,69.68
250.273,70.6667
250.273,71.6533
250.273,72.64
250.273,73.6267
250.273,74.6133
250.273,75.6
250.273,76.5867
250.273,77.5733
250.273,78.56
250.273,79.5467
397.139,80.5333
799.774,81.52
851.726,81.52
752.816,80.5333
692.871,79.5467
692.871,78.56
692.871,77.5733
693.87,76.5867
694.869,75.6
694.869,74.6133
695.868,73.6267
696.867,72.64
696.867,71.6533
697.866,70.6667
698.865,69.68
699.864,68.6933
702.862,67.7067
704.86,66.72
707.857,65.7333
709.855,64.7467
710.854,63.76
709.855,62.7733
709.855,61.7867
708.856,60.8
708.856,59.8133
707.857,58.8267
706.858,57.84
706.858,56.8533
705.859,55.8667
704.86,54.88
704.86,53.8933
703.861,52.9067
702.862,51.92
702.862,50.9333
702.862,49.9467
701.863,48.96
699.864,47.9733
698.865,46.9867
697.866,46
696.867,45.0133
695.868,44.0267
693.87,43.04
692.871,42.0533
691.872,41.0667
689.873,40.08
688.874,39.0933
687.875,38.1067
686.876,37.12
685.877,36.1333
683.879,35.1467
682.88,34.16
681.881,33.1733
679.882,32.1867
678.883,31.2
676.885,30.2133
674.887,29.2267
671.89,28.24
668.892,27.2533
665.895,26.2667
663.897,25.28
660.9,24.2933
657.902,23.3067
654.905,22.32
652.907,21.3333
649.91,20.3467
644.914,19.36
639.919,18.3733
633.924,17.3867
627.93,16.4
619.937,15.4133
609.946,14.4267
602.952,13.44
596.958,12.4533
587.966,11.4667
574.978,10.48
662.898,9.49333
