x,y
250.273,9.49333
250.273,10.48
250.273,11.4667
250.273,12.4533
250.273,13.44
250.273,14.4267
250.273,15.4133
250.273,16.4
250.273,17.3867
250.273,18.3733
250.273,19.36
250.273,20.3467
250.273,21.3333
250.273,22.32
250.273,23.3067
250.273,24.2933
250.273,25.28
250.273,26.2667
250.273,27.2533
250.273,28.24
250.273,29.2267
250.273,30.2133
250.273,31.2
250.273,32.1867
250.273,33.1733
250.273,34.16
250.273,35.1467
250.273,36.1333
250.273,37.12
250.273,38.1067
250.273,39.0933
250.273,40.08
250.273,41.0667
250.273,42.0533
250.273,43.04
250.273,44.0267
250.273,45.0133
250.273,46
250.273,46.9867
250.273,47.9733
250.273,48.96
250.273,49.9467
250.273,50.9333
250.273,51.92
250.273,52.9067
250.273,53.8933
250.273,54.88
250.273,55.8667
250.273,56.8533
250.273,57.84
250.273,58.8267
250.273,59.8133
250.273,60.8
250.273,61.7867
250.273,62.7733
250.273,63.76
250.273,64.7467
250.273,65.7333
250.273,66.72
250.273,67.7067
250.273,68.6933
250.273,69.68
250.273,70.6667
250.273,71.6533
250.273,72.64
250.273,73.6267
250.273,74.6133
250.273,75.6
250.273,76.5867
250.273,77.5733
250.273,78.56
250.273,79.5467
397.139,80.5333
799.774,81.52
935.65,81.52
835.741,80.5333
793.779,79.5467
794.778,78.56
795.777,77.5733
796.776,76.5867
796.776,75.6
797.775,74.6133
798.775,73.6267
799.774,72.64
799.774,71.6533
800.773,70.6667
800.773,69.68
801.772,68.6933
801.772,67.7067
802.771,66.72
802.771,65.7333
803.77,64.7467
803.77,63.76
804.769,62.7733
804.769,61.7867
804.769,60.8
803.77,59.8133
802.771,58.8267
801.772,57.84
799.774,56.8533
798.775,55.8667
797.775,54.88
796.776,53.8933
795.777,52.9067
793.779,51.92
792.78,50.9333
791.781,49.9467
790.782,48.96
789.783,47.9733
788.784,46.9867
786.785,46
785.786,45.0133
784.787,44.0267
784.787,43.04
784.787,42.0533
785.786,41.0667
785.786,40.08
782.789,39.0933
779.792,38.1067
775.795,37.12
773.797,36.1333
772.798,35.1467
770.8,34.16
768.802,33.1733
766.804,32.1867
765.804,31.2
763.806,30.2133
761.808,29.2267
759.81,28.24
757.812,27.2533
755.814,26.2667
754.814,25.28
752.816,24.2933
750.818,23.3067
748.82,22.32
745.823,21.3333
743.824,20.3467
737.83,19.36
729.837,18.3733
719.846,17.3867
712.853,16.4
705.859,15.4133
698.865,14.4267
694.869,13.44
687.875,12.4533
680.882,11.4667
669.892,10.48
722.843,9.49333
