x,y
250.273,9.49333
250.273,10.48
250.273,11.4667
250.273,12.4533
250.273,13.44
250.273,14.4267
250.273,15.4133
250.273,16.4
250.273,17.3867
250.273,18.3733
250.273,19.36
250.273,20.3467
250.273,21.3333
250.273,22.32
250.273,23.3067
250.273,24.2933
250.273,25.28
250.273,26.2667
250.273,27.2533
250.273,28.24
250.273,29.2267
250.273,30.2133
250.273,31.2
250.273,32.1867
250.273,33.1733
250.273,34.16
250.273,35.1467
250.273,36.1333
250.273,37.12
250.273,38.1067
250.273,39.0933
250.273,40.08
250.273,41.0667
250.273,42.0533
250.273,43.04
250.273,44.0267
250.273,45.0133
250.273,46
250.273,46.9867
250.273,47.9733
250.273,48.96
250.273,49.9467
250.273,50.9333
250.273,51.92
250.273,52.9067
250.273,53.8933
250.273,54.88
250.273,55.8667
250.273,56.8533
250.273,57.84
250.273,58.8267
250.273,59.8133
250.273,60.8
250.273,61.7867
250.273,62.7733
250.273,63.76
250.273,64.7467
250.273,65.7333
250.273,66.72
250.273,67.7067
250.273,68.6933
250.273,69.68
250.273,70.6667
250.273,71.6533
250.273,72.64
250.273,73.6267
250.273,74.6133
250.273,75.6
250.273,76.5867
250.273,77.5733
250.273,78.56
250.273,79.5467
397.139,80.5333
799.774,81.52
856.722,81.52
757.812,80.5333
694.869,79.5467
694.869,78.56
695.868,77.5733
696.867,76.5867
697.866,75.6
698.865,74.6133
699.864,73.6267
701.863,72.64
703.861,71.6533
705.859,70.6667
707.857,69.68
709.855,68.6933
711.853,67.7067
712.853,66.72
714.851,65.7333
714.851,64.7467
714.851,63.76
713.852,62.7733
713.852,61.7867
713.852,60.8
713.852,59.8133
712.853,58.8267
711.853,57.84
710.854,56.8533
710.854,55.8667
709.855,54.88
708.856,53.8933
707.857,52.9067
707.857,51.92
706.858,50.9333
705.859,49.9467
704.86,48.96
703.861,47.9733
702.862,46.9867
701.863,46
700.863,45.0133
699.864,44.0267
698.865,43.04
697.866,42.0533
696.867,41.0667
694.869,40.08
693.87,39.0933
692.871,38.1067
690.873,37.12
689.873,36.1333
688.874,35.1467
687.875,34.16
686.876,33.1733
685.877,32.1867
684.878,31.2
683.879,30.2133
680.882,29.2267
678.883,28.24
675.886,27.2533
672.889,26.2667
669.892,25.28
666.894,24.2933
664.896,23.3067
661.899,22.32
658.902,21.3333
655.904,20.3467
649.91,19.36
641.917,18.3733
635.922,17.3867
628.929,16.4
621.935,15.4133
611.944,14.4267
604.951,13.44
598.956,12.4533
591.962,11.4667
578.974,10.48
665.895,9.49333
