x,y
746.822,79.5467
747.821,78.56
748.82,77.5733
748.82,76.5867
749.819,75.6
750.818,74.6133
751.817,73.6267
752.816,72.64
753.815,71.6533
754.814,70.6667
755.814,69.68
756.813,68.6933
757.812,67.7067
757.812,66.72
758.811,65.7333
759.81,64.7467
759.81,63.76
759.81,62.7733
759.81,61.7867
759.81,60.8
759.81,59.8133
759.81,58.8267
758.811,57.84
758.811,56.8533
757.812,55.8667
756.813,54.88
754.814,53.8933
752.816,52.9067
751.817,51.92
749.819,50.9333
748.82,49.9467
747.821,48.96
746.822,47.9733
745.823,46.9867
744.824,46
743.824,45.0133
742.825,44.0267
741.826,43.04
740.827,42.0533
739.828,41.0667
738.829,40.08
737.83,39.0933
735.832,38.1067
734.833,37.12
732.834,36.1333
731.835,35.1467
729.837,34.16
728.838,33.1733
726.84,32.1867
725.841,31.2
723.843,30.2133
721.844,29.2267
718.847,28.24
716.849,27.2533
713.852,26.2667
711.853,25.28
708.856,24.2933
706.858,23.3067
703.861,22.32
701.863,21.3333
698.865,20.3467
694.869,19.36
689.873,18.3733
684.878,17.3867
678.883,16.4
667.893,15.4133
656.903,14.4267
649.91,13.44
637.921,12.4533
627.93,11.4667
619.937,10.48
