x,y
250.273,9.49333
250.273,10.48
250.273,11.4667
250.273,12.4533
250.273,13.44
250.273,14.4267
250.273,15.4133
250.273,16.4
250.273,17.3867
250.273,18.3733
250.273,19.36
250.273,20.3467
250.273,21.3333
250.273,22.32
250.273,23.3067
250.273,24.2933
250.273,25.28
250.273,26.2667
250.273,27.2533
250.273,28.24
250.273,29.2267
250.273,30.2133
250.273,31.2
250.273,32.1867
250.273,33.1733
250.273,34.16
250.273,35.1467
250.273,36.1333
250.273,37.12
250.273,38.1067
250.273,39.0933
250.273,40.08
250.273,41.0667
250.273,42.0533
250.273,43.04
250.273,44.0267
250.273,45.0133
250.273,46
250.273,46.9867
250.273,47.9733
250.273,48.96
250.273,49.9467
250.273,50.9333
250.273,51.92
250.273,52.9067
250.273,53.8933
250.273,54.88
250.273,55.8667
250.273,56.8533
250.273,57.84
250.273,58.8267
250.273,59.8133
250.273,60.8
250.273,61.7867
250.273,62.7733
250.273,63.76
250.273,64.7467
250.273,65.7333
250.273,66.72
250.273,67.7067
250.273,68.6933
250.273,69.68
250.273,70.6667
250.273,71.6533
250.273,72.64
250.273,73.6267
250.273,74.6133
250.273,75.6
250.273,76.5867
250.273,77.5733
250.273,78.56
250.273,79.5467
397.139,80.5333
799.774,81.52
932.653,81.52
834.742,80.5333
790.782,79.5467
790.782,78.56
791.781,77.5733
791.781,76.5867
791.781,75.6
792.78,74.6133
792.78,73.6267
792.78,72.64
794.778,71.6533
796.776,70.6667
797.775,69.68
795.777,68.6933
796.776,67.7067
796.776,66.72
797.775,65.7333
798.775,64.7467
798.775,63.76
799.774,62.7733
800.773,61.7867
800.773,60.8
800.773,59.8133
798.775,58.8267
797.775,57.84
796.776,56.8533
794.778,55.8667
793.779,54.88
792.78,53.8933
790.782,52.9067
789.783,51.92
788.784,50.9333
786.785,49.9467
785.786,48.96
784.787,47.9733
782.789,46.9867
781.79,46
780.791,45.0133
779.792,44.0267
777.794,43.04
776.794,42.0533
775.795,41.0667
773.797,40.08
772.798,39.0933
770.8,38.1067
768.802,37.12
767.803,36.1333
765.804,35.1467
763.806,34.16
762.807,33.1733
760.809,32.1867
758.811,31.2
757.812,30.2133
755.814,29.2267
753.815,28.24
751.817,27.2533
749.819,26.2667
747.821,25.28
746.822,24.2933
744.824,23.3067
742.825,22.32
740.827,21.3333
738.829,20.3467
732.834,19.36
724.842,18.3733
716.849,17.3867
710.854,16.4
703.861,15.4133
697.866,14.4267
692.871,13.44
686.876,12.4533
679.882,11.4667
671.89,10.48
721.844,9.49333
