x,y
100.333,3.49
100.333,4.47
100.333,5.45
100.333,6.43
100.333,7.41
100.333,8.39
100.333,9.37
100.333,10.35
100.333,11.33
100.333,12.31
100.333,13.29
100.333,14.27
100.333,15.25
100.333,16.23
100.333,17.21
100.333,18.19
100.333,19.17
100.333,20.15
100.333,21.13
100.333,22.11
100.333,23.09
100.333,24.07
100.333,25.05
100.333,26.03
100.333,27.01
100.333,27.99
100.333,28.97
100.333,29.95
100.333,30.93
100.333,31.91
100.333,32.89
100.333,33.87
100.333,34.85
100.333,35.83
100.333,36.81
100.333,37.79
100.333,38.77
100.333,39.75
100.333,40.73
100.333,41.71
100.333,42.69
100.333,43.67
100.333,44.65
100.333,45.63
100.333,46.61
100.333,47.59
100.333,48.57
100.333,49.55
325.958,50.53
373.878,50.53
280.034,49.55
281.032,48.57
283.029,47.59
284.027,46.61
286.024,45.63
287.022,44.65
289.019,43.67
290.017,42.69
292.014,41.71
293.012,40.73
295.009,39.75
296.007,38.77
298.004,37.79
299.002,36.81
300.001,35.83
301.998,34.85
302.996,33.87
304.993,32.89
305.991,31.91
306.989,30.93
308.986,29.95
309.984,28.97
310.983,27.99
311.981,27.01
312.979,26.03
313.978,25.05
314.976,24.07
315.974,23.09
316.973,22.11
318.969,21.13
319.968,20.15
320.966,19.17
320.966,18.19
321.964,17.21
321.964,16.23
322.963,15.25
323.961,14.27
323.961,13.29
324.959,12.31
325.958,11.33
325.958,10.35
318.969,9.37
309.984,8.39
304.993,7.41
298.004,6.43
287.022,5.45
269.052,4.47
248.087,3.49
