x,y
100.333,3.49
100.333,4.47
100.333,5.45
100.333,6.43
100.333,7.41
100.333,8.39
100.333,9.37
100.333,10.35
100.333,11.33
100.333,12.31
100.333,13.29
100.333,14.27
100.333,15.25
100.333,16.23
100.333,17.21
100.333,18.19
100.333,19.17
100.333,20.15
100.333,21.13
100.333,22.11
100.333,23.09
100.333,24.07
100.333,25.05
100.333,26.03
100.333,27.01
100.333,27.99
100.333,28.97
100.333,29.95
100.333,30.93
100.333,31.91
100.333,32.89
100.333,33.87
100.333,34.85
100.333,35.83
100.333,36.81
100.333,37.79
100.333,38.77
100.333,39.75
100.333,40.73
100.333,41.71
100.333,42.69
100.333,43.67
100.333,44.65
100.333,45.63
100.333,46.61
100.333,47.59
100.333,48.57
100.333,49.55
325.958,50.53
392.846,50.53
324.959,49.55
325.958,48.57
325.958,47.59
326.956,46.61
327.954,45.63
327.954,44.65
328.953,43.67
329.951,42.69
329.951,41.71
330.949,40.73
331.948,39.75
332.946,38.77
333.944,37.79
335.941,36.81
336.939,35.83
337.938,34.85
339.934,33.87
340.933,32.89
342.929,31.91
344.926,30.93
346.923,29.95
347.921,28.97
349.918,27.99
352.913,27.01
354.909,26.03
357.904,25.05
359.901,24.07
361.898,23.09
363.895,22.11
364.893,21.13
366.89,20.15
366.89,19.17
365.891,18.19
365.891,17.21
364.893,16.23
364.893,15.25
363.895,14.27
363.895,13.29
362.896,12.31
362.896,11.33
361.898,10.35
354.909,9.37
343.928,8.39
333.944,7.41
323.961,6.43
316.973,5.45
302.996,4.47
280.034,3.49
