x,y
100.333,3.49
100.333,4.47
100.333,5.45
100.333,6.43
100.333,7.41
100.333,8.39
100.333,9.37
100.333,10.35
100.333,11.33
100.333,12.31
100.333,13.29
100.333,14.27
100.333,15.25
100.333,16.23
100.333,17.21
100.333,18.19
100.333,19.17
100.333,20.15
100.333,21.13
100.333,22.11
100.333,23.09
100.333,24.07
100.333,25.05
100.333,26.03
100.333,27.01
100.333,27.99
100.333,28.97
100.333,29.95
100.333,30.93
100.333,31.91
100.333,32.89
100.333,33.87
100.333,34.85
100.333,35.83
100.333,36.81
100.333,37.79
100.333,38.77
100.333,39.75
100.333,40.73
100.333,41.71
100.333,42.69
100.333,43.67
100.333,44.65
100.333,45.63
100.333,46.61
100.333,47.59
100.333,48.57
100.333,49.55
325.958,50.53
359.901,50.53
241.099,49.55
243.096,48.57
245.092,47.59
246.091,46.61
248.087,45.63
249.086,44.65
251.082,43.67
253.079,42.69
255.076,41.71
257.072,40.73
259.069,39.75
261.066,38.77
263.062,37.79
265.059,36.81
266.057,35.83
267.056,34.85
268.054,33.87
269.052,32.89
269.052,31.91
270.051,30.93
271.049,29.95
273.046,28.97
275.042,27.99
276.041,27.01
278.037,26.03
280.034,25.05
282.031,24.07
284.027,23.09
286.024,22.11
288.021,21.13
290.017,20.15
291.016,19.17
292.014,18.19
293.012,17.21
293.012,16.23
293.012,15.25
293.012,14.27
293.012,13.29
293.012,12.31
292.014,11.33
292.014,10.35
291.016,9.37
288.021,8.39
273.046,7.41
264.061,6.43
254.077,5.45
243.096,4.47
229.119,3.49
