x,y
424.7325354,49.55
427.6876777,48.57
429.164509,47.59
432.1196514,46.61
435.0747938,45.63
436.5516251,44.65
439.5067674,43.67
440.9835987,42.69
443.9387411,41.71
446.8938835,40.73
446.8938835,39.75
449.847546,38.77
451.3258571,37.79
452.8026884,36.81
454.2795197,35.83
455.7578308,34.85
458.7114934,33.87
460.1898044,32.89
461.6666357,31.91
463.143467,30.93
466.0986094,29.95
466.0986094,28.97
467.5754407,27.99
469.0537518,27.01
470.530583,26.03
472.0074143,25.05
473.4857254,24.07
473.4857254,23.09
474.9625567,22.11
476.439388,21.13
477.9176991,20.15
479.3945304,19.17
479.3945304,18.19
480.8713616,17.21
482.3496727,16.23
482.3496727,15.25
483.826504,14.27
485.3033353,13.29
485.3033353,12.31
486.7816464,11.33
488.2584777,10.35
479.3945304,9.37
464.6217781,8.39
457.2346621,7.41
446.8938835,6.43
429.164509,5.45
402.5726671,4.47
371.5488515,3.49
