x,y
100.333,3.49
100.333,4.47
100.333,5.45
100.333,6.43
100.333,7.41
100.333,8.39
100.333,9.37
100.333,10.35
100.333,11.33
100.333,12.31
100.333,13.29
100.333,14.27
100.333,15.25
100.333,16.23
100.333,17.21
100.333,18.19
100.333,19.17
100.333,20.15
100.333,21.13
100.333,22.11
100.333,23.09
100.333,24.07
100.333,25.05
100.333,26.03
100.333,27.01
100.333,27.99
100.333,28.97
100.333,29.95
100.333,30.93
100.333,31.91
100.333,32.89
100.333,33.87
100.333,34.85
100.333,35.83
100.333,36.81
100.333,37.79
100.333,38.77
100.333,39.75
100.333,40.73
100.333,41.71
100.333,42.69
100.333,43.67
100.333,44.65
100.333,45.63
100.333,46.61
100.333,47.59
100.333,48.57
100.333,49.55
325.958,50.53
358.903,50.53
237.105,49.55
238.104,48.57
239.102,47.59
240.1,46.61
242.097,45.63
243.096,44.65
245.092,43.67
246.091,42.69
248.087,41.71
249.086,40.73
251.082,39.75
253.079,38.77
255.076,37.79
257.072,36.81
259.069,35.83
261.066,34.85
262.064,33.87
263.062,32.89
264.061,31.91
265.059,30.93
266.057,29.95
268.054,28.97
270.051,27.99
272.047,27.01
273.046,26.03
275.042,25.05
277.039,24.07
279.036,23.09
281.032,22.11
283.029,21.13
285.026,20.15
286.024,19.17
287.022,18.19
288.021,17.21
290.017,16.23
290.017,15.25
290.017,14.27
289.019,13.29
289.019,12.31
289.019,11.33
289.019,10.35
287.022,9.37
281.032,8.39
268.054,7.41
261.066,6.43
251.082,5.45
240.1,4.47
225.125,3.49
