x,y
100.333,3.49
100.333,4.47
100.333,5.45
100.333,6.43
100.333,7.41
100.333,8.39
100.333,9.37
100.333,10.35
100.333,11.33
100.333,12.31
100.333,13.29
100.333,14.27
100.333,15.25
100.333,16.23
100.333,17.21
100.333,18.19
100.333,19.17
100.333,20.15
100.333,21.13
100.333,22.11
100.333,23.09
100.333,24.07
100.333,25.05
100.333,26.03
100.333,27.01
100.333,27.99
100.333,28.97
100.333,29.95
100.333,30.93
100.333,31.91
100.333,32.89
100.333,33.87
100.333,34.85
100.333,35.83
100.333,36.81
100.333,37.79
100.333,38.77
100.333,39.75
100.333,40.73
100.333,41.71
100.333,42.69
100.333,43.67
100.333,44.65
100.333,45.63
100.333,46.61
100.333,47.59
100.333,48.57
100.333,49.55
325.958,50.53
426.79,50.53
379.868,49.55
380.866,48.57
382.863,47.59
383.861,46.61
384.86,45.63
386.856,44.65
387.855,43.67
389.851,42.69
390.85,41.71
392.846,40.73
393.845,39.75
395.841,38.77
396.84,37.79
397.838,36.81
398.836,35.83
400.833,34.85
401.831,33.87
403.828,32.89
404.826,31.91
406.823,30.93
407.821,29.95
409.818,28.97
410.816,27.99
411.815,27.01
412.813,26.03
413.811,25.05
415.808,24.07
416.806,23.09
417.805,22.11
419.801,21.13
421.798,20.15
420.8,19.17
419.801,18.19
418.803,17.21
418.803,16.23
417.805,15.25
416.806,14.27
415.808,13.29
414.81,12.31
413.811,11.33
412.813,10.35
407.821,9.37
396.84,8.39
384.86,7.41
371.881,6.43
356.906,5.45
339.934,4.47
316.973,3.49
