x,y
100.333,3.49
100.333,4.47
100.333,5.45
100.333,6.43
100.333,7.41
100.333,8.39
100.333,9.37
100.333,10.35
100.333,11.33
100.333,12.31
100.333,13.29
100.333,14.27
100.333,15.25
100.333,16.23
100.333,17.21
100.333,18.19
100.333,19.17
100.333,20.15
100.333,21.13
100.333,22.11
100.333,23.09
100.333,24.07
100.333,25.05
100.333,26.03
100.333,27.01
100.333,27.99
100.333,28.97
100.333,29.95
100.333,30.93
100.333,31.91
100.333,32.89
100.333,33.87
100.333,34.85
100.333,35.83
100.333,36.81
100.333,37.79
100.333,38.77
100.333,39.75
100.333,40.73
100.333,41.71
100.333,42.69
100.333,43.67
100.333,44.65
100.333,45.63
100.333,46.61
100.333,47.59
100.333,48.57
100.333,49.55
325.958,50.53
378.87,50.53
294.011,49.55
296.007,48.57
297.006,47.59
299.002,46.61
300.001,45.63
301.998,44.65
303.994,43.67
304.993,42.69
305.991,41.71
305.991,40.73
306.989,39.75
307.988,38.77
308.986,37.79
309.984,36.81
311.981,35.83
312.979,34.85
313.978,33.87
314.976,32.89
316.973,31.91
317.971,30.93
318.969,29.95
319.968,28.97
320.966,27.99
320.966,27.01
321.964,26.03
322.963,25.05
323.961,24.07
324.959,23.09
325.958,22.11
327.954,21.13
328.953,20.15
327.954,19.17
327.954,18.19
328.953,17.21
328.953,16.23
329.951,15.25
329.951,14.27
330.949,13.29
330.949,12.31
331.948,11.33
331.948,10.35
326.956,9.37
316.973,8.39
310.983,7.41
303.994,6.43
293.012,5.45
277.039,4.47
254.077,3.49
