x,y
100.214,2.4975
100.214,3.4925
100.214,4.4875
100.214,5.4825
100.214,6.4775
100.214,7.4725
100.214,8.4675
100.214,9.4625
100.214,10.4575
100.214,11.4525
100.214,12.4475
100.214,13.4425
100.214,14.4375
100.214,15.4325
100.214,16.4275
100.214,17.4225
100.214,18.4175
100.214,19.4125
100.214,20.4075
100.214,21.4025
100.214,22.3975
100.214,23.3925
100.214,24.3875
100.214,25.3825
100.214,26.3775
100.214,27.3725
100.214,28.3675
100.214,29.3625
100.214,30.3575
100.214,31.3525
100.214,32.3475
100.214,33.3425
100.214,34.3375
100.214,35.3325
100.214,36.3275
100.214,37.3225
100.214,38.3175
100.214,39.3125
100.214,40.3075
100.214,41.3025
100.214,42.2975
100.214,43.2925
100.214,44.2875
100.214,45.2825
100.214,46.2775
100.214,47.2725
100.214,48.2675
100.214,49.2625
100.214,50.2575
100.214,51.2525
100.214,52.2475
100.214,53.2425
100.214,54.2375
100.214,55.2325
100.214,56.2275
100.214,57.2225
100.214,58.2175
100.214,59.2125
100.214,60.2075
100.214,61.2025
100.214,62.1975
100.214,63.1925
100.214,64.1875
100.214,65.1825
100.214,66.1775
100.214,67.1725
100.214,68.1675
100.214,69.1625
100.214,70.1575
100.214,71.1525
100.214,72.1475
100.214,73.1425
100.214,74.1375
100.214,75.1325
100.214,76.1275
100.214,77.1225
100.214,78.1175
100.214,79.1125
100.214,80.1075
100.214,81.1025
100.214,82.0975
100.214,83.0925
100.214,84.0875
100.214,85.0825
100.214,86.0775
100.214,87.0725
100.214,88.0675
100.214,89.0625
100.214,90.0575
100.214,91.0525
100.214,92.0475
100.214,93.0425
100.214,94.0375
100.214,95.0325
100.214,96.0275
100.214,97.0225
100.214,98.0175
100.214,99.0125
101.212,100.008
102.209,101.002
103.206,101.998
104.203,102.993
105.2,103.987
106.197,104.983
107.195,105.978
108.192,106.972
109.189,107.968
110.186,108.963
111.183,109.957
112.18,110.953
113.178,111.948
114.175,112.942
115.172,113.938
116.169,114.933
117.166,115.927
118.163,116.922
119.161,117.918
120.158,118.913
121.155,119.907
122.152,120.903
123.149,121.898
124.146,122.892
125.143,123.888
126.141,124.883
127.138,125.877
128.135,126.873
129.132,127.868
130.129,128.863
131.126,129.858
132.124,130.852
133.121,131.847
134.118,132.843
135.115,133.838
136.112,134.833
137.109,135.828
138.107,136.822
139.104,137.817
140.101,138.812
141.098,139.808
142.095,140.803
143.092,141.798
144.089,142.792
145.087,143.787
146.084,144.782
147.081,145.778
148.078,146.773
149.075,147.768
150.072,148.762
151.07,149.757
152.067,150.752
153.064,151.748
154.061,152.743
155.058,153.738
156.055,154.732
157.053,155.727
158.05,156.722
159.047,157.718
160.044,158.713
160.044,158.713
160.044,157.718
160.044,156.722
160.044,155.727
160.044,154.732
160.044,153.738
160.044,152.743
160.044,151.748
160.044,150.752
160.044,149.757
160.044,148.762
161.041,147.768
161.041,146.773
161.041,145.778
162.038,144.782
162.038,143.787
162.038,142.792
163.036,141.798
163.036,140.803
163.036,139.808
164.033,138.812
164.033,137.817
165.03,136.822
165.03,135.828
165.03,134.833
166.027,133.838
166.027,132.843
166.027,131.847
166.027,130.852
166.027,129.858
166.027,128.863
166.027,127.868
165.03,126.873
165.03,125.877
165.03,124.883
166.027,123.888
166.027,122.892
167.024,121.898
167.024,120.903
167.024,119.907
168.021,118.913
168.021,117.918
168.021,116.922
169.018,115.927
169.018,114.933
170.016,113.938
170.016,112.942
170.016,111.948
171.013,110.953
171.013,109.957
171.013,108.963
172.01,107.968
172.01,106.972
173.007,105.978
173.007,104.983
173.007,103.987
174.004,102.993
174.004,101.998
174.004,101.002
175.001,100.008
175.001,99.0125
175.999,98.0175
176.996,97.0225
176.996,96.0275
177.993,95.0325
178.99,94.0375
178.99,93.0425
179.987,92.0475
180.984,91.0525
180.984,90.0575
181.982,89.0625
182.979,88.0675
183.976,87.0725
184.973,86.0775
184.973,85.0825
185.97,84.0875
186.967,83.0925
187.964,82.0975
187.964,81.1025
188.962,80.1075
189.959,79.1125
190.956,78.1175
190.956,77.1225
191.953,76.1275
192.95,75.1325
193.947,74.1375
194.945,73.1425
194.945,72.1475
195.942,71.1525
195.942,70.1575
196.939,69.1625
196.939,68.1675
196.939,67.1725
197.936,66.1775
197.936,65.1825
197.936,64.1875
198.933,63.1925
198.933,62.1975
198.933,61.2025
199.93,60.2075
200.928,59.2125
201.925,58.2175
202.922,57.2225
204.916,56.2275
205.913,55.2325
206.911,54.2375
207.908,53.2425
209.902,52.2475
210.899,51.2525
211.896,50.2575
212.893,49.2625
214.888,48.2675
215.885,47.2725
217.879,46.2775
218.876,45.2825
220.871,44.2875
221.868,43.2925
223.862,42.2975
224.859,41.3025
225.857,40.3075
227.851,39.3125
229.845,38.3175
230.842,37.3225
232.837,36.3275
234.831,35.3325
236.825,34.3375
237.822,33.3425
239.817,32.3475
241.811,31.3525
243.805,30.3575
245.8,29.3625
248.791,28.3675
251.783,27.3725
256.768,26.3775
260.757,25.3825
263.749,24.3875
265.743,23.3925
267.737,22.3975
269.732,21.4025
271.726,20.4075
274.717,19.4125
277.709,18.4175
280.7,17.4225
283.692,16.4275
286.683,15.4325
289.675,14.4375
292.666,13.4425
295.658,12.4475
298.649,11.4525
302.638,10.4575
304.632,9.4625
306.626,8.4675
308.621,7.4725
310.615,6.4775
312.609,5.4825
299.646,4.4875
284.689,3.4925
243.805,2.4975
