x,y
100.214,2.4975
100.214,3.4925
100.214,4.4875
100.214,5.4825
100.214,6.4775
100.214,7.4725
100.214,8.4675
100.214,9.4625
100.214,10.4575
100.214,11.4525
100.214,12.4475
100.214,13.4425
100.214,14.4375
100.214,15.4325
100.214,16.4275
100.214,17.4225
100.214,18.4175
100.214,19.4125
100.214,20.4075
100.214,21.4025
100.214,22.3975
100.214,23.3925
100.214,24.3875
100.214,25.3825
100.214,26.3775
100.214,27.3725
100.214,28.3675
100.214,29.3625
100.214,30.3575
100.214,31.3525
100.214,32.3475
100.214,33.3425
100.214,34.3375
100.214,35.3325
100.214,36.3275
100.214,37.3225
100.214,38.3175
100.214,39.3125
100.214,40.3075
100.214,41.3025
100.214,42.2975
100.214,43.2925
100.214,44.2875
100.214,45.2825
100.214,46.2775
100.214,47.2725
100.214,48.2675
100.214,49.2625
100.214,50.2575
100.214,51.2525
100.214,52.2475
100.214,53.2425
100.214,54.2375
100.214,55.2325
100.214,56.2275
100.214,57.2225
100.214,58.2175
100.214,59.2125
100.214,60.2075
100.214,61.2025
100.214,62.1975
100.214,63.1925
100.214,64.1875
100.214,65.1825
100.214,66.1775
100.214,67.1725
100.214,68.1675
100.214,69.1625
100.214,70.1575
100.214,71.1525
100.214,72.1475
100.214,73.1425
100.214,74.1375
100.214,75.1325
100.214,76.1275
100.214,77.1225
100.214,78.1175
100.214,79.1125
100.214,80.1075
100.214,81.1025
100.214,82.0975
100.214,83.0925
100.214,84.0875
100.214,85.0825
100.214,86.0775
100.214,87.0725
100.214,88.0675
100.214,89.0625
100.214,90.0575
100.214,91.0525
100.214,92.0475
100.214,93.0425
100.214,94.0375
100.214,95.0325
100.214,96.0275
100.214,97.0225
100.214,98.0175
100.214,99.0125
101.212,100.008
102.209,101.002
103.206,101.998
104.203,102.993
105.2,103.987
106.197,104.983
107.195,105.978
108.192,106.972
109.189,107.968
110.186,108.963
111.183,109.957
112.18,110.953
113.178,111.948
114.175,112.942
115.172,113.938
116.169,114.933
117.166,115.927
118.163,116.922
119.161,117.918
120.158,118.913
121.155,119.907
122.152,120.903
123.149,120.903
123.149,119.907
123.149,118.913
123.149,117.918
124.146,116.922
124.146,115.927
124.146,114.933
124.146,113.938
125.143,112.942
125.143,111.948
125.143,110.953
125.143,109.957
126.141,108.963
126.141,107.968
126.141,106.972
126.141,105.978
127.138,104.983
127.138,103.987
127.138,102.993
128.135,101.998
128.135,101.002
128.135,100.008
129.132,99.0125
129.132,98.0175
128.135,97.0225
127.138,96.0275
126.141,95.0325
124.146,94.0375
124.146,93.0425
123.149,92.0475
123.149,91.0525
122.152,90.0575
123.149,89.0625
124.146,88.0675
126.141,87.0725
128.135,86.0775
130.129,85.0825
132.124,84.0875
133.121,83.0925
133.121,82.0975
134.118,81.1025
134.118,80.1075
134.118,79.1125
135.115,78.1175
135.115,77.1225
136.112,76.1275
136.112,75.1325
136.112,74.1375
136.112,73.1425
137.109,72.1475
137.109,71.1525
137.109,70.1575
137.109,69.1625
137.109,68.1675
138.107,67.1725
138.107,66.1775
138.107,65.1825
139.104,64.1875
139.104,63.1925
140.101,62.1975
141.098,61.2025
141.098,60.2075
142.095,59.2125
143.092,58.2175
144.089,57.2225
145.087,56.2275
146.084,55.2325
147.081,54.2375
147.081,53.2425
148.078,52.2475
149.075,51.2525
150.072,50.2575
152.067,49.2625
153.064,48.2675
155.058,47.2725
157.053,46.2775
158.05,45.2825
160.044,44.2875
161.041,43.2925
163.036,42.2975
165.03,41.3025
166.027,40.3075
168.021,39.3125
170.016,38.3175
172.01,37.3225
173.007,36.3275
175.001,35.3325
176.996,34.3375
177.993,33.3425
179.987,32.3475
181.982,31.3525
182.979,30.3575
184.973,29.3625
186.967,28.3675
188.962,27.3725
190.956,26.3775
193.947,25.3825
195.942,24.3875
197.936,23.3925
199.93,22.3975
203.919,21.4025
206.911,20.4075
211.896,19.4125
218.876,18.4175
221.868,17.4225
223.862,16.4275
226.854,15.4325
229.845,14.4375
232.837,13.4425
235.828,12.4475
238.82,11.4525
241.811,10.4575
243.805,9.4625
244.803,8.4675
245.8,7.4725
246.797,6.4775
247.794,5.4825
241.811,4.4875
218.876,3.4925
192.95,2.4975
