x,y
101.212,100.008
102.209,101.002
103.206,101.998
104.203,102.993
105.2,103.987
106.197,104.983
107.195,105.978
108.192,106.972
109.189,107.968
110.186,108.963
111.183,109.957
112.18,110.953
113.178,111.948
114.175,112.942
115.172,113.938
116.169,114.933
117.166,115.927
118.163,116.922
119.161,117.918
120.158,118.913
121.155,119.907
122.152,120.903
123.149,121.898
124.146,122.892
125.143,123.888
126.141,124.883
127.138,125.877
128.135,126.873
129.132,127.868
130.129,128.863
131.126,129.858
132.124,130.852
133.121,131.847
134.118,132.843
135.115,133.838
136.112,134.833
137.109,135.828
138.107,136.822
139.104,137.817
140.101,138.812
141.098,139.808
142.095,140.803
142.095,140.803
142.095,139.808
142.095,138.812
142.095,137.817
142.095,136.822
142.095,135.828
142.095,134.833
142.095,133.838
142.095,132.843
142.095,131.847
142.095,130.852
142.095,129.858
142.095,128.863
142.095,127.868
142.095,126.873
142.095,125.877
142.095,124.883
142.095,123.888
142.095,122.892
142.095,121.898
142.095,120.903
142.095,119.907
142.095,118.913
142.095,117.918
142.095,116.922
143.092,115.927
143.092,114.933
143.092,113.938
143.092,112.942
143.092,111.948
143.092,110.953
143.092,109.957
143.092,108.963
143.092,107.968
143.092,106.972
143.092,105.978
143.092,104.983
144.089,103.987
144.089,102.993
144.089,101.998
144.089,101.002
145.087,100.008
145.087,99.0125
146.084,98.0175
146.084,97.0225
147.081,96.0275
147.081,95.0325
148.078,94.0375
149.075,93.0425
149.075,92.0475
150.072,91.0525
152.067,90.0575
153.064,89.0625
154.061,88.0675
154.061,87.0725
155.058,86.0775
155.058,85.0825
156.055,84.0875
157.053,83.0925
157.053,82.0975
158.05,81.1025
159.047,80.1075
159.047,79.1125
159.047,78.1175
160.044,77.1225
160.044,76.1275
161.041,75.1325
162.038,74.1375
163.036,73.1425
164.033,72.1475
165.03,71.1525
167.024,70.1575
167.024,69.1625
168.021,68.1675
169.018,67.1725
170.016,66.1775
170.016,65.1825
171.013,64.1875
172.01,63.1925
172.01,62.1975
173.007,61.2025
174.004,60.2075
175.001,59.2125
175.001,58.2175
175.999,57.2225
176.996,56.2275
177.993,55.2325
178.99,54.2375
178.99,53.2425
179.987,52.2475
180.984,51.2525
181.982,50.2575
183.976,49.2625
185.97,48.2675
187.964,47.2725
190.956,46.2775
191.953,45.2825
192.95,44.2875
193.947,43.2925
195.942,42.2975
196.939,41.3025
197.936,40.3075
198.933,39.3125
200.928,38.3175
202.922,37.3225
204.916,36.3275
206.911,35.3325
207.908,34.3375
209.902,33.3425
211.896,32.3475
213.891,31.3525
214.888,30.3575
217.879,29.3625
221.868,28.3675
224.859,27.3725
227.851,26.3775
229.845,25.3825
232.837,24.3875
235.828,23.3925
237.822,22.3975
240.814,21.4025
242.808,20.4075
245.8,19.4125
248.791,18.4175
251.783,17.4225
254.774,16.4275
257.766,15.4325
260.757,14.4375
263.749,13.4425
266.74,12.4475
268.734,11.4525
271.726,10.4575
274.717,9.4625
277.709,8.4675
279.703,7.4725
282.695,6.4775
284.689,5.4825
278.706,4.4875
246.797,3.4925
218.876,2.4975
