x,y
101.212,100.008
102.209,101.002
103.206,101.998
104.203,102.993
105.2,103.987
106.197,104.983
107.195,105.978
108.192,106.972
109.189,107.968
110.186,108.963
111.183,109.957
112.18,110.953
113.178,111.948
114.175,112.942
115.172,113.938
116.169,114.933
117.166,115.927
118.163,116.922
119.161,117.918
120.158,118.913
121.155,119.907
122.152,120.903
123.149,121.898
124.146,122.892
125.143,123.888
126.141,124.883
127.138,125.877
128.135,126.873
129.132,127.868
130.129,128.863
131.126,129.858
132.124,130.852
133.121,131.847
134.118,132.843
135.115,133.838
136.112,134.833
137.109,135.828
138.107,136.822
139.104,137.817
140.101,138.812
141.098,139.808
142.095,140.803
143.092,141.798
144.089,142.792
145.087,143.787
146.084,144.782
147.081,145.778
148.078,146.773
149.075,147.768
150.072,148.762
151.07,149.757
152.067,150.752
153.064,151.748
154.061,152.743
155.058,153.738
156.055,154.732
157.053,155.727
158.05,156.722
159.047,157.718
160.044,158.713
161.041,159.708
162.038,160.703
163.036,161.697
163.036,161.697
163.036,160.703
163.036,159.708
163.036,158.713
163.036,157.718
163.036,156.722
163.036,155.727
163.036,154.732
163.036,153.738
163.036,152.743
163.036,151.748
163.036,150.752
163.036,149.757
164.033,148.762
164.033,147.768
164.033,146.773
165.03,145.778
165.03,144.782
165.03,143.787
166.027,142.792
166.027,141.798
166.027,140.803
167.024,139.808
167.024,138.812
167.024,137.817
168.021,136.822
168.021,135.828
169.018,134.833
169.018,133.838
169.018,132.843
170.016,131.847
170.016,130.852
170.016,129.858
171.013,128.863
171.013,127.868
171.013,126.873
171.013,125.877
171.013,124.883
171.013,123.888
172.01,122.892
172.01,121.898
172.01,120.903
173.007,119.907
173.007,118.913
174.004,117.918
174.004,116.922
174.004,115.927
175.001,114.933
175.001,113.938
175.001,112.942
175.999,111.948
175.999,110.953
175.999,109.957
176.996,108.963
176.996,107.968
176.996,106.972
177.993,105.978
177.993,104.983
178.99,103.987
178.99,102.993
178.99,101.998
179.987,101.002
179.987,100.008
179.987,99.0125
179.987,98.0175
179.987,97.0225
180.984,96.0275
181.982,95.0325
182.979,94.0375
182.979,93.0425
183.976,92.0475
184.973,91.0525
184.973,90.0575
185.97,89.0625
186.967,88.0675
187.964,87.0725
188.962,86.0775
188.962,85.0825
189.959,84.0875
190.956,83.0925
191.953,82.0975
191.953,81.1025
192.95,80.1075
193.947,79.1125
193.947,78.1175
194.945,77.1225
195.942,76.1275
196.939,75.1325
196.939,74.1375
197.936,73.1425
198.933,72.1475
199.93,71.1525
200.928,70.1575
201.925,69.1625
202.922,68.1675
203.919,67.1725
204.916,66.1775
204.916,65.1825
205.913,64.1875
206.911,63.1925
206.911,62.1975
207.908,61.2025
208.905,60.2075
208.905,59.2125
209.902,58.2175
210.899,57.2225
211.896,56.2275
212.893,55.2325
213.891,54.2375
214.888,53.2425
215.885,52.2475
217.879,51.2525
218.876,50.2575
219.874,49.2625
221.868,48.2675
222.865,47.2725
224.859,46.2775
225.857,45.2825
226.854,44.2875
227.851,43.2925
228.848,42.2975
229.845,41.3025
230.842,40.3075
232.837,39.3125
234.831,38.3175
235.828,37.3225
237.822,36.3275
239.817,35.3325
241.811,34.3375
243.805,33.3425
244.803,32.3475
246.797,31.3525
248.791,30.3575
251.783,29.3625
256.768,28.3675
260.757,27.3725
264.746,26.3775
266.74,25.3825
268.734,24.3875
270.729,23.3925
272.723,22.3975
275.714,21.4025
277.709,20.4075
280.7,19.4125
283.692,18.4175
286.683,17.4225
289.675,16.4275
292.666,15.4325
295.658,14.4375
298.649,13.4425
302.638,12.4475
305.629,11.4525
309.618,10.4575
311.612,9.4625
312.609,8.4675
314.604,7.4725
315.601,6.4775
317.595,5.4825
306.626,4.4875
286.683,3.4925
244.803,2.4975
