x,y
100.214,2.4975
100.214,3.4925
100.214,4.4875
100.214,5.4825
100.214,6.4775
100.214,7.4725
100.214,8.4675
100.214,9.4625
100.214,10.4575
100.214,11.4525
100.214,12.4475
100.214,13.4425
100.214,14.4375
100.214,15.4325
100.214,16.4275
100.214,17.4225
100.214,18.4175
100.214,19.4125
100.214,20.4075
100.214,21.4025
100.214,22.3975
100.214,23.3925
100.214,24.3875
100.214,25.3825
100.214,26.3775
100.214,27.3725
100.214,28.3675
100.214,29.3625
100.214,30.3575
100.214,31.3525
100.214,32.3475
100.214,33.3425
100.214,34.3375
100.214,35.3325
100.214,36.3275
100.214,37.3225
100.214,38.3175
100.214,39.3125
100.214,40.3075
100.214,41.3025
100.214,42.2975
100.214,43.2925
100.214,44.2875
100.214,45.2825
100.214,46.2775
100.214,47.2725
100.214,48.2675
100.214,49.2625
100.214,50.2575
100.214,51.2525
100.214,52.2475
100.214,53.2425
100.214,54.2375
100.214,55.2325
100.214,56.2275
100.214,57.2225
100.214,58.2175
100.214,59.2125
100.214,60.2075
100.214,61.2025
100.214,62.1975
100.214,63.1925
100.214,64.1875
100.214,65.1825
100.214,66.1775
100.214,67.1725
100.214,68.1675
100.214,69.1625
100.214,70.1575
100.214,71.1525
100.214,72.1475
100.214,73.1425
100.214,74.1375
100.214,75.1325
100.214,76.1275
100.214,77.1225
100.214,78.1175
100.214,79.1125
100.214,80.1075
100.214,81.1025
100.214,82.0975
100.214,83.0925
100.214,84.0875
100.214,85.0825
100.214,86.0775
100.214,87.0725
100.214,88.0675
100.214,89.0625
100.214,90.0575
100.214,91.0525
100.214,92.0475
100.214,93.0425
100.214,94.0375
100.214,95.0325
100.214,96.0275
100.214,97.0225
100.214,98.0175
100.214,99.0125
101.212,100.008
102.209,101.002
103.206,101.998
104.203,102.993
105.2,103.987
106.197,104.983
107.195,105.978
108.192,106.972
109.189,107.968
110.186,108.963
111.183,109.957
112.18,110.953
113.178,111.948
114.175,112.942
115.172,113.938
116.169,114.933
117.166,115.927
118.163,116.922
119.161,117.918
120.158,118.913
121.155,119.907
122.152,120.903
123.149,121.898
124.146,122.892
125.143,123.888
126.141,124.883
127.138,125.877
128.135,126.873
129.132,127.868
130.129,128.863
131.126,129.858
132.124,130.852
133.121,131.847
134.118,132.843
135.115,133.838
136.112,134.833
137.109,135.828
138.107,136.822
139.104,137.817
140.101,138.812
140.101,138.812
140.101,137.817
140.101,136.822
140.101,135.828
140.101,134.833
140.101,133.838
140.101,132.843
140.101,131.847
140.101,130.852
140.101,129.858
140.101,128.863
140.101,127.868
140.101,126.873
140.101,125.877
140.101,124.883
140.101,123.888
140.101,122.892
140.101,121.898
140.101,120.903
140.101,119.907
140.101,118.913
140.101,117.918
140.101,116.922
140.101,115.927
141.098,114.933
141.098,113.938
141.098,112.942
141.098,111.948
141.098,110.953
141.098,109.957
141.098,108.963
141.098,107.968
141.098,106.972
142.095,105.978
142.095,104.983
142.095,103.987
142.095,102.993
142.095,101.998
143.092,101.002
143.092,100.008
143.092,99.0125
144.089,98.0175
145.087,97.0225
145.087,96.0275
146.084,95.0325
146.084,94.0375
147.081,93.0425
147.081,92.0475
148.078,91.0525
147.081,90.0575
148.078,89.0625
149.075,88.0675
149.075,87.0725
149.075,86.0775
149.075,85.0825
150.072,84.0875
151.07,83.0925
151.07,82.0975
152.067,81.1025
153.064,80.1075
153.064,79.1125
154.061,78.1175
155.058,77.1225
156.055,76.1275
157.053,75.1325
158.05,74.1375
159.047,73.1425
160.044,72.1475
161.041,71.1525
162.038,70.1575
163.036,69.1625
164.033,68.1675
164.033,67.1725
165.03,66.1775
166.027,65.1825
166.027,64.1875
167.024,63.1925
167.024,62.1975
168.021,61.2025
168.021,60.2075
169.018,59.2125
170.016,58.2175
170.016,57.2225
171.013,56.2275
172.01,55.2325
173.007,54.2375
173.007,53.2425
174.004,52.2475
175.001,51.2525
175.999,50.2575
177.993,49.2625
179.987,48.2675
181.982,47.2725
184.973,46.2775
186.967,45.2825
188.962,44.2875
189.959,43.2925
190.956,42.2975
191.953,41.3025
193.947,40.3075
194.945,39.3125
195.942,38.3175
197.936,37.3225
198.933,36.3275
199.93,35.3325
201.925,34.3375
203.919,33.3425
205.913,32.3475
206.911,31.3525
208.905,30.3575
211.896,29.3625
215.885,28.3675
218.876,27.3725
222.865,26.3775
225.857,25.3825
228.848,24.3875
230.842,23.3925
233.834,22.3975
235.828,21.4025
238.82,20.4075
241.811,19.4125
244.803,18.4175
247.794,17.4225
250.786,16.4275
253.777,15.4325
256.768,14.4375
259.76,13.4425
262.751,12.4475
265.743,11.4525
268.734,10.4575
270.729,9.4625
273.72,8.4675
276.712,7.4725
278.706,6.4775
281.697,5.4825
272.723,4.4875
245.8,3.4925
216.882,2.4975
