x,y
100.214,2.4975
100.214,3.4925
100.214,4.4875
100.214,5.4825
100.214,6.4775
100.214,7.4725
100.214,8.4675
100.214,9.4625
100.214,10.4575
100.214,11.4525
100.214,12.4475
100.214,13.4425
100.214,14.4375
100.214,15.4325
100.214,16.4275
100.214,17.4225
100.214,18.4175
100.214,19.4125
100.214,20.4075
100.214,21.4025
100.214,22.3975
100.214,23.3925
100.214,24.3875
100.214,25.3825
100.214,26.3775
100.214,27.3725
100.214,28.3675
100.214,29.3625
100.214,30.3575
100.214,31.3525
100.214,32.3475
100.214,33.3425
100.214,34.3375
100.214,35.3325
100.214,36.3275
100.214,37.3225
100.214,38.3175
100.214,39.3125
100.214,40.3075
100.214,41.3025
100.214,42.2975
100.214,43.2925
100.214,44.2875
100.214,45.2825
100.214,46.2775
100.214,47.2725
100.214,48.2675
100.214,49.2625
100.214,50.2575
100.214,51.2525
100.214,52.2475
100.214,53.2425
100.214,54.2375
100.214,55.2325
100.214,56.2275
100.214,57.2225
100.214,58.2175
100.214,59.2125
100.214,60.2075
100.214,61.2025
100.214,62.1975
100.214,63.1925
100.214,64.1875
100.214,65.1825
100.214,66.1775
100.214,67.1725
100.214,68.1675
100.214,69.1625
100.214,70.1575
100.214,71.1525
100.214,72.1475
100.214,73.1425
100.214,74.1375
100.214,75.1325
100.214,76.1275
100.214,77.1225
100.214,78.1175
100.214,79.1125
100.214,80.1075
100.214,81.1025
100.214,82.0975
100.214,83.0925
100.214,84.0875
100.214,85.0825
100.214,86.0775
100.214,87.0725
100.214,88.0675
100.214,89.0625
100.214,90.0575
100.214,91.0525
100.214,92.0475
100.214,93.0425
100.214,94.0375
100.214,95.0325
100.214,96.0275
100.214,97.0225
100.214,98.0175
100.214,99.0125
101.212,100.008
102.209,101.002
103.206,101.998
104.203,102.993
105.2,103.987
106.197,104.983
107.195,105.978
108.192,106.972
109.189,107.968
110.186,108.963
111.183,109.957
112.18,110.953
113.178,111.948
114.175,112.942
115.172,113.938
116.169,114.933
117.166,115.927
118.163,116.922
119.161,117.918
120.158,118.913
121.155,119.907
121.155,119.907
121.155,118.913
121.155,117.918
121.155,116.922
122.152,115.927
122.152,114.933
122.152,113.938
122.152,112.942
123.149,111.948
123.149,110.953
123.149,109.957
123.149,108.963
124.146,107.968
124.146,106.972
124.146,105.978
124.146,104.983
124.146,103.987
125.143,102.993
125.143,101.998
125.143,101.002
125.143,100.008
125.143,99.0125
124.146,98.0175
124.146,97.0225
123.149,96.0275
122.152,95.0325
122.152,94.0375
121.155,93.0425
121.155,92.0475
120.158,91.0525
120.158,90.0575
120.158,89.0625
121.155,88.0675
122.152,87.0725
123.149,86.0775
125.143,85.0825
127.138,84.0875
129.132,83.0925
130.129,82.0975
131.126,81.1025
131.126,80.1075
131.126,79.1125
132.124,78.1175
132.124,77.1225
133.121,76.1275
133.121,75.1325
133.121,74.1375
133.121,73.1425
134.118,72.1475
134.118,71.1525
134.118,70.1575
134.118,69.1625
134.118,68.1675
135.115,67.1725
135.115,66.1775
135.115,65.1825
136.112,64.1875
137.109,63.1925
137.109,62.1975
138.107,61.2025
139.104,60.2075
140.101,59.2125
141.098,58.2175
141.098,57.2225
142.095,56.2275
143.092,55.2325
144.089,54.2375
145.087,53.2425
145.087,52.2475
146.084,51.2525
147.081,50.2575
148.078,49.2625
149.075,48.2675
150.072,47.2725
152.067,46.2775
154.061,45.2825
155.058,44.2875
157.053,43.2925
158.05,42.2975
160.044,41.3025
162.038,40.3075
163.036,39.3125
165.03,38.3175
167.024,37.3225
169.018,36.3275
171.013,35.3325
172.01,34.3375
174.004,33.3425
175.999,32.3475
176.996,31.3525
178.99,30.3575
180.984,29.3625
182.979,28.3675
184.973,27.3725
186.967,26.3775
188.962,25.3825
190.956,24.3875
192.95,23.3925
194.945,22.3975
196.939,21.4025
198.933,20.4075
204.916,19.4125
210.899,18.4175
217.879,17.4225
219.874,16.4275
221.868,15.4325
224.859,14.4375
227.851,13.4425
230.842,12.4475
233.834,11.4525
236.825,10.4575
238.82,9.4625
239.817,8.4675
241.811,7.4725
243.805,6.4775
245.8,5.4825
239.817,4.4875
216.882,3.4925
191.953,2.4975
